"","hora","cenario","iteracao","ET","acuracia"
"180017",2016-07-20 17:53:49,"TRE 9",10000,0.103979245705405,0.531645569620253
"180018",2016-07-20 17:53:49,"VAL 9",10000,0.0839388759178773,0.357142857142857
"200019",2016-07-20 18:19:31,"TRE 10",10000,0.0838602219349423,0.602564102564103
"200020",2016-07-20 18:19:31,"VAL 10",10000,0.104372556843169,0.341463414634146
"220021",2016-07-20 18:51:50,"TRE 11",10000,0.0450835552289496,0.805194805194805
"220022",2016-07-20 18:51:50,"VAL 11",10000,0.145047223309702,0.55
"240023",2016-07-20 19:39:53,"TRE 12",10000,0.018325327580481,0.833333333333333
"240024",2016-07-20 19:39:54,"VAL 12",10000,0.316564796785301,0.414634146341463
"260025",2016-07-20 20:25:57,"TRE 13",10000,0.0275061080325877,0.756410256410256
"260026",2016-07-20 20:25:57,"VAL 13",10000,0.258882346618389,0.439024390243902
"280027",2016-07-20 21:12:59,"TRE 14",10000,0.0502574250611168,0.756410256410256
"280028",2016-07-20 21:12:59,"VAL 14",10000,0.176281577554024,0.439024390243902
"300029",2016-07-20 22:01:07,"TRE 15",10000,0.0254424633571404,0.82051282051282
"300030",2016-07-20 22:01:07,"VAL 15",10000,0.316222349714496,0.292682926829268
"320031",2016-07-20 22:33:11,"TRE 16",10000,0.0486643666392381,0.82051282051282
"320032",2016-07-20 22:33:11,"VAL 16",10000,0.227332447038056,0.585365853658537
"340033",2016-07-20 23:28:36,"TRE 17",10000,0.0107019389615832,0.858974358974359
"340034",2016-07-20 23:28:36,"VAL 17",10000,0.379512403104605,0.51219512195122
"360035",2016-07-21 00:21:48,"TRE 18",10000,0.0187424698640003,0.91025641025641
"360036",2016-07-21 00:21:48,"VAL 18",10000,0.345898784770743,0.365853658536585
"380037",2016-07-21 01:15:43,"TRE 19",10000,0.0132590569583106,0.91025641025641
"380038",2016-07-21 01:15:43,"VAL 19",10000,0.347953910620222,0.536585365853659
"400039",2016-07-21 02:12:28,"TRE 20",10000,0.011754564186957,0.91025641025641
"400040",2016-07-21 02:12:28,"VAL 20",10000,0.518640129637497,0.48780487804878
"420041",2016-07-21 02:53:09,"TRE 21",10000,0.0116944077987357,0.974358974358974
"420042",2016-07-21 02:53:09,"VAL 21",10000,0.436126039690987,0.384615384615385
"440043",2016-07-21 03:57:58,"TRE 22",10000,0.00733717196947816,0.987179487179487
"440044",2016-07-21 03:57:58,"VAL 22",10000,0.473124954405158,0.384615384615385
"460045",2016-07-21 04:58:39,"TRE 23",10000,0.00273362836687263,0.987179487179487
"460046",2016-07-21 04:58:39,"VAL 23",10000,0.65023383904061,0.346153846153846
"480047",2016-07-21 05:53:02,"TRE 24",10000,0.00804944173045256,0.961538461538462
"480048",2016-07-21 05:53:02,"VAL 24",10000,0.330644970064632,0.576923076923077
"500049",2016-07-21 06:49:08,"TRE 25",10000,0.00849648426468731,0.974358974358974
"500050",2016-07-21 06:49:08,"VAL 25",10000,0.430308923179967,0.615384615384615
