Periodo;Data;BVSP;SPX;MXX;IPSA;MERV;FTSE;GDAXI;FCHI;N225;HSI;BSESN;TUNINDEX;MASI;NSE20;AXJO;NZDOW;JKSE
28;11/05/16;-0,580343684;-0,903862527;-0,343245493;-0,197844701;0,538310717;0,094203142;-0,796388765;-0,426058084;-0,942304886;-1,437360709;0,188065612;0,361751821;-0,111979785;0,451651118;0,552144963;0,275997151;0,393748984
29;12/05/16;0,902113143;-0,14801952;0,376080844;0,144914909;-1,228275183;-0,94604146;-0,381622769;-0,057503803;1,133984888;-0,920569449;0,41122344;-0,102773801;-0,083486833;-0,279837232;-0,241982028;-0,222133369;0,158160493
30;13/05/16;-2,689909084;-0,77042497;-0,617277617;-0,270335308;-1,825666517;0,561904982;1,613813734;1,294799338;-2,332510239;-0,625903863;-0,972687373;0,089327136;-0,97596891;0,10883362;-0,565368725;-0,191238604;-0,822234392
31;16/05/16;0;0,983610439;0,969990711;-0,366812837;0,565189274;0,210147463;0;0,504116707;0,454373065;0,873486714;0,48740906;0,02544668;0,039829014;-0,524481311;0,561079039;0,335675603;-0,293165839
32;17/05/16;-1,845738006;-0,863425293;0,0549467;-0,407502305;-1,319063312;0,266604403;-1,263874041;-0,636747733;0,203692553;0,658222673;0,067823632;0,098870981;-1,449876138;-1,026851186;0,690440215;0,748529674;-0,169093799
33;18/05/16;-0,538988119;0,158972402;-0,697241859;-0,68531172;-1,55231126;-0,032426474;1,171958489;1,02703301;0,20039889;-0,181295966;0,129049456;-0,189969536;0,843866443;0,296097461;-0,735738389;-0,400158304;0,263896918
34;19/05/16;-0,836695941;-0,203986972;-1,097274104;-0,790465244;-1,473650954;-1,822957387;-0,525506638;-0,22622077;-0,956722628;-0,178922663;-1,221595619;-0,564165925;0,105792809;0,061623032;-0,614248699;-1,479198767;-0,61805309
35;20/05/16;-0,817824587;0,511296598;0,227151463;-0,042618938;0,227281829;1,699869572;0,379909238;0,700334076;0,851819573;1,123123103;-0,497551682;0,30336771;-0,332384142;0,258708878;0,525989537;0,349399749;0,274744532
36;23/05/16;-0,762437386;-0,204165276;0,170135461;0,177305156;-1,526245127;-0,32324454;-0,496289138;-0,455478467;-0,100050438;0,105610975;-0,854148513;0,452075952;-0,240801368;-0,389632086;-0,605458565;0,156515517;0,614789783
37;24/05/16;0,03040746;1,140484648;0,582466121;0,19301323;-0,779169558;1,350953398;2,636704875;2,83619661;-0,640042433;0,012155309;0,192026196;0,013928433;-1,217187123;0,52042346;-0,438056824;-0,517995892;-0,577817384
38;25/05/16;0,275599327;0,558465527;0,471025504;0,075841651;0;0,701045107;0,609657769;0,533666195;-0,041755273;1,04823899;1,765761852;0,356534599;-0,484125255;0,422756465;1,452147076;0,125240417;0,82574515
39;27/05/16;-0,869020432;0,430609635;0,182270958;-0,102754022;-0,042880667;0,081389308;0,276853799;0,362572217;0,025785592;0,743057679;0,899721962;-0,355240748;0,056128182;-0,109511486;0,330353996;0,72076882;0,675024869
40;30/05/16;-0,177366415;0;-0,22187586;0,055730658;0,151151803;0;0,386661999;0,494999185;0,555557792;0,515115978;0,11556433;-0,445480165;-0,153979947;-0,169618617;0,038848259;0,486230827;0,35233063
41;31/05/16;-1,002798031;-0,151415968;-1,231254924;-0,383561584;-0,694179398;-0,637877165;-0,901874803;-0,589095828;1,206846956;0,959191929;-0,558544479;-0,423263721;-0,015574664;-0,858340197;-0,543637241;0,048317667;-0,762324855
42;01/06/16;1,124453248;0,257416027;0,195894381;-0,233818858;-0,459145541;-0,624316367;-0,3743109;-0,609608779;-0,827562774;0,166217757;0,110434121;0,26681976;0,276232334;0;-1,030005987;-0,184526163;0,787507277
43;02/06/16;1,793584721;0,359918632;-0,090629246;-0,281952581;0,714701446;-0,101742665;0,086279363;-0,063547679;-1,514568893;0,430481327;0,557652545;0,437675706;0,417159573;-0,737499347;-0,832211665;-0,057329335;-0,067813123
44;03/06/16;1,465282232;-0,234791848;0,922398873;0,936943366;0,548137353;0,387997925;-1,312031857;-1,251728896;0,257361233;-0,042182717;-0,283073367;-0,017470552;0,178908374;0,045794656;0,757733633;0,092498789;0,175403123
45;06/06/16;-0,385169969;0,408402093;-0,155844116;0,80058043;0,478536297;1,027438208;0,158239405;0,371456336;1,262474447;0,281767561;-0,447584734;-0,087528456;-0,214024838;-0,007365882;0,780236529;-0,021988654;0,68805273
46;07/06/16;0,111040609;0,092406859;0,593967516;0,678849363;3,240437382;0,176939111;0,897491575;0,730288356;0,146527918;0,515007763;0,656383266;-0,316120905;-0,011529495;-0,086555486;0,203352583;0,153920577;0,524498113
47;08/06/16;2,255892256;0,303409181;0,295308422;-0,068733367;2,781729899;0,270506802;-0,287512703;-0,281305043;0,648406347;0,016959154;-0,238432731;-0,783760313;-0,44133869;0,013692354;-0,018618507;-0,619453475;-0,244175586
48;09/06/16;-0,997424128;-0,008031669;-1,304532652;-0,912396893;-0,71518773;-1,104500484;-0,938784774;-0,707911095;-0,439726509;0;-0,855802842;0,044185821;-0,116537573;0,524713948;-0,150839814;-0,335881911;-0,737101759
49;10/06/16;-3,315922296;-0,63994082;-1,047928027;-0,587504748;-1,507501844;-1,86299682;-1,896021771;-1,915132809;-0,217282463;-0,929560775;-0,398282594;0,059500669;0,213817699;0,398880098;-0,919446556;-0,278428426;-0,700877167
50;13/06/16;0,4896902;-0,606666236;-0,531787662;-0,357523778;-0,584157931;-1,157654064;-0,600464825;-0,633758507;-1,837910631;-0,651504872;-0,270134774;0,05254995;-0,386892972;-0,41112114;0;-1,107874294;-0,636498937
51;14/06/16;-2,041802585;-0,064037467;-0,811040731;-0,031464641;-1,099720822;-2,009925558;-0,791749678;-1,0749132;-0,888624072;-0,435717108;-0,327722315;0,019512195;-0,123369739;-0,867023255;-2,057378515;-0,945255801;0,499617027
52;15/06/16;0,546773829;-0,293612712;1,00642011;0,461688033;0,582121938;0,730983456;0,179782975;-0,027557546;0,76276492;1,52030959;0,851109684;-0,590066517;0,233297436;0,385778003;-1,080078202;0,683907786;0,074786446
53;16/06/16;1,044968406;0,56281976;0,461930257;0,116708526;-0,352376845;-0,273174994;0,738785491;0,886912814;-2,753916123;-1,215140871;-0,601694457;-0,44709498;-0,330006381;-0,242685225;-0,021373161;0,873500792;-0,100508694
54;17/06/16;0,252990346;-0,335866623;0,173609386;0,324422477;0;1,186456567;0,108518001;0,344307783;-0,20554193;-0,366771165;-0,104823331;-0,055443298;-0,03698267;-0,148287308;0,324527691;-0,539010915;0,195121168
55;20/06/16;1,594703163;0,369531491;1,044667432;0,145655499;0;3,037649251;1,131198119;0,919973904;0,7970185;0,416834368;1,395663737;-0,101371837;-0,402896205;-0,452393032;1,822682055;0,661621426;0,285375795
56;21/06/16;1,017366769;0,177919571;-0,16724133;0,207488416;4,622694088;0,364282689;0,721051386;0,723037162;1,847469767;0,711809375;-0,351726867;0,044652248;0,26865799;0,209439371;0,334806301;-0,607068981;0,108237777
57;22/06/16;-1,335693912;-0,205768585;0,218720368;0,10578463;0,404182322;0,555682017;-0,135657079;-0,417654543;-0,186942091;1,173398844;-0,097154405;-0,207909788;-0,959327464;-0,63866027;-0,06635826;-0,877431027;0,409688438
58;23/06/16;2,789019358;0,980505472;0,709772355;0,644064919;2,237798944;1,22819748;1,32932525;1,389879028;0,868020618;0,027561295;0,930810113;-0,369767403;0,368540061;-0,170622077;0,184029501;0,731060952;-0,459214892
59;24/06/16;-2,823839724;-3,161407548;-2,675853542;-0,676572962;-2,130290473;-3,146051655;3,459116471;-0,190787343;-8,460031677;-1,095412405;0,114650579;-0,658013257;0,529806177;-1,018538795;-3,171927847;-2,561785569;-0,891280052
60;27/06/16;-1,716361314;-1,521568965;-1,352043163;0;-1,063424133;-2,549399629;-2,608614636;-1,066345805;1,030350808;1,224264553;0,209316789;0,051440716;-0,150650416;-1,194947173;0,469373369;-0,40957202;0,66622719
61;28/06/16;1,532932673;1,466106602;0,941245832;-0,763430734;0,763050907;2,644507068;-0,117352127;0,355638447;1,513309547;1,375518251;0,431229755;-0,348824336;0,767704877;-0,696585339;-0,659900115;0,732396978;0,952042282
62;29/06/16;1,985642584;1,374661834;1,655783368;1,035884895;3,300709708;3,577946054;0,571049056;1,351647845;0,280097209;1,083484529;0,425281085;0,006791991;-0,441954912;-0,208709138;0,766172839;0,309893816;1,51095159
63;30/06/16;1,031352326;1,239174113;1,099971638;0,437852603;0,277064357;2,267255307;1,191916098;1,323975668;-1,122283337;0,277378353;0,273157234;-0,087447423;0,037779969;0,318540665;1,769601776;1,367684478;0,335389048
64;01/07/16;1,344586729;0,171952273;0,522196228;0,847424295;2,848053121;1,130021712;0,341586986;0,302038152;-0,098987404;0;0,29773535;0,255476796;0,07079754;0,334559318;0,252229836;0,633280934;-1,114566422
65;04/07/16;0,627859344;0;-0,025839777;-0,018362445;0,36780947;-0,843747175;-0,903994531;-1,250790183;1,4257374;0,43748012;-0,130625734;-0,176568401;0,75946223;-0,514948847;0,670905088;0,329518636;0
